governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3,a.1.1_w,a.1.2_w,a.1.3_w,a.1.4_w,a.2.1_w,a.2.2_w,a.2.3_w,a.2.4_w,a.3.1_w,a.3.2_w,a.3.3_w,a.4.1_w,a.4.2_w,a.4.3_w,b.1.1_w,b.1.2_w,b.1.3_w,b.2.1_w,b.2.2_w,b.2.3_w,b.3.1_w,b.3.2_w,b.3.3_w,b.3.4_w,b.4.1_w,b.4.2_w,b.4.3_w,b.5.1_w,b.5.2_w,b.5.3_w,a.1.1_weighted,a.1.2_weighted,a.1.3_weighted,a.1.4_weighted,a.2.1_weighted,a.2.2_weighted,a.2.3_weighted,a.2.4_weighted,a.3.1_weighted,a.3.2_weighted,a.3.3_weighted,a.4.1_weighted,a.4.2_weighted,a.4.3_weighted,b.1.1_weighted,b.1.2_weighted,b.1.3_weighted,b.2.1_weighted,b.2.2_weighted,b.2.3_weighted,b.3.1_weighted,b.3.2_weighted,b.3.3_weighted,b.3.4_weighted,b.4.1_weighted,b.4.2_weighted,b.4.3_weighted,b.5.1_weighted,b.5.2_weighted,b.5.3_weighted,a.1_sum,a.2_sum,a.3_sum,a.4_sum,b.1_sum,b.2_sum,b.3_sum,b.4_sum,b.5_sum,a.1_w,a.2_w,a.3_w,a.4_w,b.1_w,b.2_w,b.3_w,b.4_w,b.5_w,a.1_weighted,a.2_weighted,a.3_weighted,a.4_weighted,b.1_weighted,b.2_weighted,b.3_weighted,b.4_weighted,b.5_weighted,a_sum,b_sum
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D012,1,0.97,1.0,0.1569,0,0.1176,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.5,1,1.0,0.2284,0.75,0.0,0.0,0.0,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31428,0.338,0.025731600000000004,0.0,0.025872,0.0,0.0,0.302,0.319,0.379,0.00416,0.18364830000000001,0.18075,0.189,0.28,0.342,0.0762856,0.32925,0.0,0.0,0.0,0.15150000000000002,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8520116,0.025872,1.0,0.3685583,0.811,0.4055356,0.19825000000000004,0.3823224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.281163828,0.005924688,0.178,0.0969308329,0.195451,0.079079442,0.04520100000000001,0.0584953272,0.10508775000000001,0.5620193489,0.4833145192
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D013,1,0.98,1.0,0.0588,0,0.0441,0.0,0.5,1,1,1,0.36,0.3333,0.75,0.0,1,0.8,0.0221,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.0096432,0.0,0.009702,0.0,0.145,0.302,0.319,0.379,0.07487999999999999,0.18364830000000001,0.18075,0.0,0.28,0.2736,0.007381400000000001,0.32925,0.0,0.0,0.0,0.0,0.04675,0.091,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8391632,0.15470199999999998,1.0,0.4392783,0.5536000000000001,0.33663139999999997,0.04675,0.2003224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.276923856,0.035426757999999996,0.178,0.11553019290000001,0.13341760000000003,0.065643123,0.010659,0.0306493272,0.10508775000000001,0.6058808069,0.3454568002
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D014,1,0.86,1.0,0.0392,0,0.0294,0.5,0.5,1,1,1,0.1,0.4583,0.75,0.25,1,0.4,0.0796,0.75,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.45,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.27864,0.338,0.0064288,0.0,0.006468,0.1165,0.145,0.302,0.319,0.379,0.0208,0.2525233,0.18075,0.0945,0.28,0.1368,0.026586400000000003,0.32925,0.0,0.0,0.0,0.0505,0.04675,0.273,0.0,0.1093224,0.15255000000000002,0.0,0.32,0.7970688,0.267968,1.0,0.4540733,0.5113000000000001,0.3558364,0.09725,0.3823224,0.47255,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.263032704,0.061364672,0.178,0.11942127790000001,0.12322330000000002,0.069388098,0.022173000000000002,0.0584953272,0.08647665,0.6218186539,0.3597563752
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D015,1,0.96,1.0,0.0196,0,0.0147,0.5,0.5,1,1,0,0.12,0.4583,0.75,0.0,1,1.0,0.3453,0.75,0.0,0.3333,0.0,0.25,0.25,0.75,0,0.3333,0.6,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31104,0.338,0.0032144,0.0,0.003234,0.1165,0.145,0.302,0.319,0.0,0.02496,0.2525233,0.18075,0.0,0.28,0.342,0.11533020000000001,0.32925,0.0,0.13798619999999998,0.0,0.0505,0.04675,0.273,0.0,0.1093224,0.2034,0.0,0.32,0.8262543999999999,0.264734,0.621,0.45823329999999995,0.6220000000000001,0.4445802,0.2352362,0.3823224,0.5234,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.272663952,0.06062408600000001,0.110538,0.1205153579,0.149902,0.086693139,0.0536338536,0.0584953272,0.0957822,0.5643413959,0.4445065198
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D016,1,0.99,1.0,0.1961,0,0.1471,0.6,0.6,1,1,1,0.36,0.4583,0.75,0.0,1,0.0,0.0949,0.75,0.0,0.0,0.0,0.25,0.25,0.25,0,0.3333,0.3,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.32076,0.338,0.0321604,0.0,0.032362,0.1398,0.174,0.302,0.319,0.379,0.07487999999999999,0.2525233,0.18075,0.0,0.28,0.0,0.0316966,0.32925,0.0,0.0,0.0,0.0505,0.04675,0.091,0.0,0.1093224,0.1017,0.0,0.32,0.8649203999999999,0.34616199999999997,1.0,0.5081533,0.28,0.3609466,0.09725,0.2003224,0.4217,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.285423732,0.079271098,0.178,0.1336443179,0.06748,0.070384587,0.022173000000000002,0.0306493272,0.0771711,0.6763391478999999,0.2678580142
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D017,1,0.93,1.0,0.0392,0,0.0294,0.4286,0.7143,1,0,1,0.42,0.4583,0.75,0.0,1,1.0,0.0858,0.75,0.0,0.0,0.75,0.0,0.25,0.75,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.30132000000000003,0.338,0.0064288,0.0,0.006468,0.0998638,0.207147,0.302,0.0,0.379,0.08736,0.2525233,0.18075,0.0,0.28,0.342,0.0286572,0.32925,0.0,0.0,0.14775,0.0,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8197488,0.3134788,0.681,0.5206333,0.6220000000000001,0.3579072,0.1945,0.3823224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.270517104,0.0717866452,0.121218,0.1369265579,0.149902,0.069791904,0.044346000000000003,0.0584953272,0.10508775000000001,0.6004483071,0.4276229812
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D018,1,0.98,1.0,0.1765,0,0.3824,0.6667,0.6667,1,1,1,0.16,0.4583,0.75,0.0,1,0.2,0.1137,0.25,0.0,0.3333,0.0,0.25,0.25,0.0,0,0.5,0.45,0.0,0,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.028946,0.0,0.08412800000000001,0.1553411,0.193343,0.302,0.319,0.379,0.03328,0.2525233,0.18075,0.0,0.28,0.0684,0.037975800000000004,0.10975,0.0,0.13798619999999998,0.0,0.0505,0.04675,0.0,0.0,0.164,0.15255000000000002,0.0,0.0,0.8584660000000001,0.43281210000000003,1.0,0.46655329999999995,0.34840000000000004,0.14772580000000002,0.2352362,0.164,0.15255000000000002,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.28329378000000005,0.09911397090000001,0.178,0.12270351789999999,0.08396440000000001,0.028806531000000003,0.0536338536,0.025092,0.02791665,0.6831112688000001,0.2194134346
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D019,1,0.97,1.0,0.0588,0,0.2941,0.3333,0.3333,1,1,0,0.04,0.3333,0.75,0.25,1,1.0,0.2444,0.25,0.0,0.3333,0.0,0.5,0.25,0.25,0,0.25,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31428,0.338,0.0096432,0.0,0.064702,0.0776589,0.09665699999999999,0.302,0.319,0.0,0.00832,0.18364830000000001,0.18075,0.0945,0.28,0.342,0.08162960000000001,0.10975,0.0,0.13798619999999998,0.0,0.101,0.04675,0.091,0.0,0.082,0.25425000000000003,0.0,0.32,0.8359232,0.2390179,0.621,0.3727183,0.7165000000000001,0.1913796,0.2857362,0.173,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.27585465600000003,0.054735099100000004,0.110538,0.09802491290000001,0.17267650000000004,0.037319022,0.0651478536,0.026468999999999996,0.10508775000000001,0.5391526680000001,0.4067001256
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D020,1,0.95,1.0,0.4902,0,0.6176,0.6,0.6,1,0,0,0.48,0.5833,0.75,0.0,1,0.0,0.0606,0.25,0.0,0.3333,0.75,0.5,0.25,0.75,0,0.25,0.6,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.3078,0.338,0.08039280000000001,0.0,0.13587200000000002,0.1398,0.174,0.302,0.0,0.0,0.09984,0.3213983,0.18075,0.0,0.28,0.0,0.020240400000000002,0.10975,0.0,0.13798619999999998,0.14775,0.101,0.04675,0.273,0.0,0.082,0.2034,0.0,0.32,0.9001928000000001,0.449672,0.302,0.6019883,0.28,0.1299904,0.4334862,0.35500000000000004,0.5234,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.2970636240000001,0.10297488800000001,0.053756,0.15832292290000002,0.06748,0.025348128,0.0988348536,0.054315,0.0957822,0.6121174349000001,0.3417601816
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D021,1,0.94,1.0,0.451,0,0.5882,0.6667,0.6667,1,1,0,0.44,0.3333,0.75,0.0,1,1.0,0.1238,0.25,0.0,0.3333,0.0,0.5,0.25,0.75,0,0.3333,0.75,0.0,0,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.30456,0.338,0.073964,0.0,0.129404,0.1553411,0.193343,0.302,0.319,0.0,0.09151999999999999,0.18364830000000001,0.18075,0.0,0.28,0.342,0.0413492,0.10975,0.0,0.13798619999999998,0.0,0.101,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.0,0.890524,0.47808809999999996,0.621,0.4559183,0.6220000000000001,0.1510992,0.2857362,0.3823224,0.25425000000000003,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.29387292,0.10948217489999999,0.110538,0.1199065129,0.149902,0.029464344,0.0651478536,0.0584953272,0.04652775000000001,0.6337996078,0.34953727479999996
