governance_type,ecological_site,Site,Region,District,Village,surveyNo,a_1_1_Employment_status,a_1_1_weight,a_1_1_weighted,a_1_2_Percentage_of_catch_from_fishing_sold,a_1_2_weight,a_1_2_weighted,a_1_3_Percentage_of_income_from_the_main_activity,a_1_3_weight,a_1_3_weighted,a_1_4_Time_conducting_the_activity,a_1_4_weight,a_1_4_weighted,a_1_Livelihood_sum,a_1_Livelihood_weight,a_1_Livelihood_weighted,a_2_1_Gender,a_2_1_weight,a_2_1_weighted,a_2_2_Years_living_in_the_village,a_2_2_weight,a_2_2_weighted,a_2_3_Percentage_of_children_in_the_family_members,a_2_3_weight,a_2_3_weighted,a_2_4_Family_dependency,a_2_4_weight,a_2_4_weighted,a_2_Demographic_sum,a_2_Demographic_weight,a_2_Demographic_weighted,a_3_1_Appreciation_of_biodiversity,a_3_1_weight,a_3_1_weighted,a_3_2_Identity_and_pride,a_3_2_weight,a_3_2_weighted,a_3_3_Appreciation_of_lifestyle,a_3_3_weight,a_3_3_weighted,a_3_Cultural_sum,a_3_Cultural_weight,a_3_Cultural_weighted,a_4_1_Age,a_4_1_weight,a_4_1_weighted,a_4_2_Food_security_and_wellbeing,a_4_2_weight,a_4_2_weighted,a_4_3_Sense_of_place,a_4_3_weight,a_4_3_weighted,a_4_health_sum,a_4_health_weight,a_4_health_weighted,a_SENSITIVITY,b_1_1_Level_of_education,b_1_1_weight,b_1_1_weighted,b_1_2_Knowledge_of_rules,b_1_2_weight,b_1_2_weighted,b_1_3_Access_to_information,b_1_3_weight,b_1_3_weighted,b_1_learning_sum,b_1_learning_weight,b_1_learning_weighted,b_2_1_Material_style_of_life,b_2_1_weight,b_2_1_weighted,b_2_2_Community_infrastructures,b_2_2_weight,b_2_2_weighted,b_2_3_Access_to_credit,b_2_3_weight,b_2_3_weighted,b_2_Assets_sum,b_2_Assets_weight,b_2_Assets_weighted,b_3_1_Livelihood_multiplicity,b_3_1_weight,b_3_1_weighted,b_3_2_Adapt_to_live_without_fishing,b_3_2_weight,b_3_2_weighted,b_3_3_Gear,b_3_3_weight,b_3_3_weighted,b_3_4_Spatial_mobility,b_3_4_weight,b_3_4_weighted,b_3_Flexibility_sum,b_3_Flexibility_weight,b_3_Flexibility_weighted,b_4_1_Perceived_capacity_to_change,b_4_1_weight,b_4_1_weighted,b_4_2_Recognition_of_causality,b_4_2_weight,b_4_2_weighted,b_4_3_Level_of_participation,b_4_3_weight,b_4_3_weighted,b_4_agency_Sum,b_4_agency_weight,b_4_agency_weighted,b_5_1_Trust_in_organization,b_5_1_weight,b_5_1_weighted,b_5_2_Community_cohesion,b_5_2_weight,b_5_2_weighted,b_5_3_Linking_Social_capital,b_5_3_weight,b_5_3_weighted,b_5_organization_sum,b_5_Organization_weight,b_5_Organization_weighted,b_ADAPTIVE_CAPACITY,c_vulnerability_EQUAL_adaptive_capacity_MINUS_sensitivity,quadrant
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D054,1,0.174,0.2474,1,0.324,0.2603,1,0.338,0.3001,0.0784,0.164,0.0151,0.8229,0.33,0.2654,0,0.257,0,0.0588,0.22,0.0121,0.5,0.233,0.1135,0.5,0.29,0.1726,0.2982,0.229,0.07,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.16,0.208,0.0366,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.2088,0.263,0.0563,0.5648,0,0.378,0,1,0.28,0.2796,0.8,0.342,0.2736,0.5532,0.241,0.1389,0.0572,0.334,0.0189,0.25,0.429619722,0.1074,0,0.23970222,0,0.1263,0.201948503,0.0255,0.3333,0.38069361,0.1269,0,0.214992669,0,0,0.20862622,0,0.75,0.195687501,0.1468,0.2737,0.213724639,0.0585,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.5833,0.327023177,0.1908,0.7729,0.151246925,0.1169,0.25,0.325747012,0.0814,1,0.342611092,0.3426,1,0.331641896,0.3316,0.7557,0.181907181,0.1375,0.4773,-0.0875152,q1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D055,1,0.174,0.2474,1,0.324,0.2603,0.5833,0.338,0.1751,0.1569,0.164,0.0302,0.7129,0.33,0.2299,0,0.257,0,0.1176,0.22,0.0241,0.3333,0.233,0.0757,0.3333,0.29,0.1151,0.2149,0.229,0.0504,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.2,0.208,0.0458,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.2179,0.263,0.0588,0.4577,0.5,0.378,0.1892,1,0.28,0.2796,0.2,0.342,0.0684,0.5372,0.241,0.1349,0.2776,0.334,0.0918,0.25,0.429619722,0.1074,0,0.23970222,0,0.1992,0.201948503,0.0402,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0,0.20862622,0,0.75,0.195687501,0.1468,0.4349,0.213724639,0.093,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.5833,0.327023177,0.1908,0.7729,0.151246925,0.1169,0.45,0.325747012,0.1466,1,0.342611092,0.3426,1,0.331641896,0.3316,0.8208,0.181907181,0.1493,0.5343,0.0765756,q4
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D056,1,0.174,0.2474,0.97,0.324,0.2525,1,0.338,0.3001,0.1373,0.164,0.0264,0.8264,0.33,0.2665,0,0.257,0,0.3529,0.22,0.0724,0.3333,0.233,0.0757,0.3333,0.29,0.1151,0.2632,0.229,0.0618,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.12,0.208,0.0275,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.1996,0.263,0.0538,0.5007,0.5,0.378,0.1892,1,0.28,0.2796,0.8,0.342,0.2736,0.7424,0.241,0.1865,0.0135,0.334,0.0045,0,0.429619722,0,0,0.23970222,0,0.0045,0.201948503,0.0009,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0,0.20862622,0,0.75,0.195687501,0.1468,0.4349,0.213724639,0.093,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.25,0.327023177,0.0818,0.6639,0.151246925,0.1004,0.45,0.325747012,0.1466,1,0.342611092,0.3426,1,0.331641896,0.3316,0.8208,0.181907181,0.1493,0.5301,0.0293193,q4
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D057,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.0588,0.164,0.0113,0.8139,0.33,0.2625,0,0.257,0,0.2941,0.22,0.0604,0.5,0.233,0.1135,0.5,0.29,0.1726,0.3465,0.229,0.0813,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.48,0.208,0.1099,0.3333,0.551,0.165,0.25,0.241,0.0691,0.3439,0.263,0.0927,0.5552,0.25,0.378,0.0946,1,0.28,0.2796,0.8,0.342,0.2736,0.6478,0.241,0.1627,0.7402,0.334,0.2448,0,0.429619722,0,0,0.23970222,0,0.2448,0.201948503,0.0494,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.25,0.20862622,0.0522,0.75,0.195687501,0.1468,0.4871,0.213724639,0.1041,0.75,0.363267572,0.2725,0,0.309709252,0,0.75,0.327023177,0.2453,0.5177,0.151246925,0.0783,0.75,0.325747012,0.2443,1,0.342611092,0.3426,1,0.331641896,0.3316,0.9186,0.181907181,0.1671,0.5616,0.0064705,q1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D058,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.1961,0.164,0.0377,0.8403,0.33,0.271,0,0.257,0,0.3971,0.22,0.0815,0.3333,0.233,0.0757,0.3333,0.29,0.1151,0.2723,0.229,0.0639,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.18,0.208,0.0412,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.2134,0.263,0.0575,0.5656,0,0.378,0,1,0.28,0.2796,0.8,0.342,0.2736,0.5532,0.241,0.1389,0.0124,0.334,0.0041,0,0.429619722,0,0,0.23970222,0,0.0041,0.201948503,0.0008,0.3333,0.38069361,0.1269,0,0.214992669,0,0,0.20862622,0,0.75,0.195687501,0.1468,0.2737,0.213724639,0.0585,0.75,0.363267572,0.2725,0,0.309709252,0,0.75,0.327023177,0.2453,0.5177,0.151246925,0.0783,0.65,0.325747012,0.2117,1,0.342611092,0.3426,1,0.331641896,0.3316,0.886,0.181907181,0.1612,0.4377,-0.1278515,q2
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D059,1,0.174,0.2474,0.95,0.324,0.2473,1,0.338,0.3001,0.0392,0.164,0.0075,0.8023,0.33,0.2587,0,0.257,0,0.2794,0.22,0.0574,0.3333,0.233,0.0757,0.3333,0.29,0.1151,0.2481,0.229,0.0582,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.02,0.208,0.0046,0.3333,0.551,0.165,0.75,0.241,0.2072,0.3767,0.263,0.1016,0.5917,0.25,0.378,0.0946,1,0.28,0.2796,0.8,0.342,0.2736,0.6478,0.241,0.1627,0.0124,0.334,0.0041,0,0.429619722,0,0,0.23970222,0,0.0041,0.201948503,0.0008,0.3333,0.38069361,0.1269,0,0.214992669,0,0,0.20862622,0,0.25,0.195687501,0.0489,0.1758,0.213724639,0.0376,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.75,0.327023177,0.2453,0.8274,0.151246925,0.1251,0.7,0.325747012,0.228,1,0.342611092,0.3426,1,0.331641896,0.3316,0.9023,0.181907181,0.1641,0.4904,-0.1013434,q1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D060,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.2157,0.164,0.0415,0.844,0.33,0.2722,0,0.257,0,0.4118,0.22,0.0845,0.6,0.233,0.1362,-3.4,0.29,-1.1738,-0.953,0.229,-0.2236,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.2,0.208,0.0458,0.2083,0.551,0.1031,0.75,0.241,0.2072,0.3561,0.263,0.096,0.2632,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.0219,0.334,0.0073,0,0.429619722,0,0,0.23970222,0,0.0073,0.201948503,0.0015,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.25,0.20862622,0.0522,0.25,0.195687501,0.0489,0.3892,0.213724639,0.0832,0.75,0.363267572,0.2725,0,0.309709252,0,0.75,0.327023177,0.2453,0.5177,0.151246925,0.0783,0.65,0.325747012,0.2117,1,0.342611092,0.3426,1,0.331641896,0.3316,0.886,0.181907181,0.1612,0.3943,0.1311178,q3
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D061,1,0.174,0.2474,0.85,0.324,0.2213,1,0.338,0.3001,0.9216,0.164,0.1771,0.9459,0.33,0.3051,0,0.257,0,0.6912,0.22,0.1419,0.6,0.233,0.1362,0.9,0.29,0.3107,0.5888,0.229,0.1382,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.58,0.208,0.1327,0.2083,0.551,0.1031,0.75,0.241,0.2072,0.443,0.263,0.1195,0.7359,0.25,0.378,0.0946,1,0.28,0.2796,1,0.342,0.342,0.7162,0.241,0.1799,0.6954,0.334,0.2299,0,0.429619722,0,1,0.23970222,0.2397,0.4697,0.201948503,0.0948,0.3333,0.38069361,0.1269,0,0.214992669,0,0,0.20862622,0,0.25,0.195687501,0.0489,0.1758,0.213724639,0.0376,0.75,0.363267572,0.2725,0,0.309709252,0,0.75,0.327023177,0.2453,0.5177,0.151246925,0.0783,0.65,0.325747012,0.2117,1,0.342611092,0.3426,1,0.331641896,0.3316,0.886,0.181907181,0.1612,0.5518,-0.1840888,q1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,D062,1,0.174,0.2474,0.95,0.324,0.2473,1,0.338,0.3001,0.0588,0.164,0.0113,0.8061,0.33,0.26,0,0.257,0,0.0441,0.22,0.0091,0,0.233,0,0,0.29,0,0.0091,0.229,0.0021,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.26,0.208,0.0595,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.2317,0.263,0.0625,0.4977,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.0327,0.334,0.0108,0.5,0.429619722,0.2148,0,0.23970222,0,0.2256,0.201948503,0.0456,0,0.38069361,0,0,0.214992669,0,0,0.20862622,0,0.75,0.195687501,0.1468,0.1468,0.213724639,0.0314,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.6667,0.327023177,0.218,0.8002,0.151246925,0.121,0.75,0.325747012,0.2443,1,0.342611092,0.3426,1,0.331641896,0.3316,0.9186,0.181907181,0.1671,0.4353,-0.0624638,q3
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,D063,1,0.174,0.2474,0.97,0.324,0.2525,1,0.338,0.3001,0.0196,0.164,0.0038,0.8037,0.33,0.2592,0,0.257,0,0.0147,0.22,0.003,0,0.233,0,0,0.29,0,0.003,0.229,0.0007,0,0.302,0,0,0.319,0,1,0.379,0.3715,0.3715,0.178,0.0643,0.02,0.208,0.0046,0.3333,0.551,0.165,0.25,0.241,0.0691,0.2386,0.263,0.0643,0.3886,0.25,0.378,0.0946,1,0.28,0.2796,0.8,0.342,0.2736,0.6478,0.241,0.1627,0.0221,0.334,0.0073,0.5,0.429619722,0.2148,0,0.23970222,0,0.2221,0.201948503,0.0449,0,0.38069361,0,0.75,0.214992669,0.1612,0,0.20862622,0,0.75,0.195687501,0.1468,0.308,0.213724639,0.0658,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.75,0.327023177,0.2453,0.8274,0.151246925,0.1251,0.75,0.325747012,0.2443,1,0.342611092,0.3426,0,0.331641896,0,0.5869,0.181907181,0.1068,0.5053,0.1167158,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E001,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0,0.164,0,0.8026,0.33,0.2588,0,0.257,0,0,0.22,0,0.4,0.233,0.0908,0.8,0.29,0.2762,0.367,0.229,0.0861,0,0.302,0,1,0.319,0.315,0,0.379,0,0.315,0.178,0.0545,0.08,0.208,0.0183,0.2083,0.551,0.1031,0.75,0.241,0.2072,0.3286,0.263,0.0886,0.4881,1,0.378,0.3784,1,0.28,0.2796,0,0.342,0,0.658,0.241,0.1653,0.304,0.334,0.1005,0.5,0.429619722,0.2148,0,0.23970222,0,0.3153,0.201948503,0.0637,0.3333,0.38069361,0.1269,0,0.214992669,0,1,0.20862622,0.2086,0.25,0.195687501,0.0489,0.3844,0.213724639,0.0822,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.1667,0.327023177,0.0545,0.6367,0.151246925,0.0963,0.85,0.325747012,0.2769,0.5,0.342611092,0.1713,1,0.331641896,0.3316,0.7798,0.181907181,0.1419,0.5493,0.06115,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E002,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.2157,0.164,0.0415,0.844,0.33,0.2722,0,0.257,0,0.1618,0.22,0.0332,0.5,0.233,0.1135,0.75,0.29,0.2589,0.4057,0.229,0.0952,0,0.302,0,0,0.319,0,0,0.379,0,0,0.178,0,0.54,0.208,0.1236,0.2083,0.551,0.1031,0.75,0.241,0.2072,0.4339,0.263,0.117,0.4844,1,0.378,0.3784,1,0.28,0.2796,1,0.342,0.342,1,0.241,0.2512,0.2885,0.334,0.0954,0.5,0.429619722,0.2148,0,0.23970222,0,0.3102,0.201948503,0.0626,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.75,0.20862622,0.1565,0.25,0.195687501,0.0489,0.4935,0.213724639,0.1055,1,0.363267572,0.3633,1,0.309709252,0.3097,0.75,0.327023177,0.2453,0.9182,0.151246925,0.1389,0.75,0.325747012,0.2443,0.6667,0.342611092,0.2284,0,0.331641896,0,0.4727,0.181907181,0.086,0.6442,0.1597656,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E003,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.2157,0.164,0.0415,0.844,0.33,0.2722,0,0.257,0,0.1618,0.22,0.0332,0.6,0.233,0.1362,0.8,0.29,0.2762,0.4456,0.229,0.1046,0,0.302,0,0,0.319,0,1,0.379,0.3715,0.3715,0.178,0.0643,0.46,0.208,0.1053,0.2083,0.551,0.1031,0.75,0.241,0.2072,0.4156,0.263,0.1121,0.5532,0,0.378,0,1,0.28,0.2796,1,0.342,0.342,0.6216,0.241,0.1561,0.0327,0.334,0.0108,0.5,0.429619722,0.2148,0,0.23970222,0,0.2256,0.201948503,0.0456,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.4414,0.213724639,0.0943,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.9167,0.327023177,0.2998,0.8819,0.151246925,0.1334,0.75,0.325747012,0.2443,0.6667,0.342611092,0.2284,1,0.331641896,0.3316,0.8044,0.181907181,0.1463,0.5757,0.0225587,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E004,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.3725,0.164,0.0716,0.8742,0.33,0.2819,0,0.257,0,0.2794,0.22,0.0574,0.625,0.233,0.1419,0.625,0.29,0.2158,0.4151,0.229,0.0974,0,0.302,0,0,0.319,0,1,0.379,0.3715,0.3715,0.178,0.0643,0.6,0.208,0.1373,0.2083,0.551,0.1031,0.25,0.241,0.0691,0.3095,0.263,0.0835,0.5271,0.75,0.378,0.2838,1,0.28,0.2796,0.8,0.342,0.2736,0.837,0.241,0.2102,0.1384,0.334,0.0458,0.5,0.429619722,0.2148,0,0.23970222,0,0.2606,0.201948503,0.0526,0.3333,0.38069361,0.1269,1,0.214992669,0.215,0.25,0.20862622,0.0522,0.75,0.195687501,0.1468,0.5408,0.213724639,0.1156,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.9167,0.327023177,0.2998,0.8819,0.151246925,0.1334,0.85,0.325747012,0.2769,0.6667,0.342611092,0.2284,0,0.331641896,0,0.5053,0.181907181,0.0919,0.6037,0.0766351,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E005,1,0.174,0.2474,0.97,0.324,0.2525,1,0.338,0.3001,0.0392,0.164,0.0075,0.8075,0.33,0.2604,0,0.257,0,0.0294,0.22,0.006,0.75,0.233,0.1703,0.5,0.29,0.1726,0.349,0.229,0.0819,0,0.302,0,0,0.319,0,0,0.379,0,0,0.178,0,0.4,0.208,0.0915,0.2083,0.551,0.1031,1,0.241,0.2763,0.4709,0.263,0.127,0.4693,0,0.378,0,1,0.28,0.2796,1,0.342,0.342,0.6216,0.241,0.1561,0.0129,0.334,0.0043,0.5,0.429619722,0.2148,0,0.23970222,0,0.2191,0.201948503,0.0442,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.5,0.20862622,0.1043,0,0.195687501,0,0.3925,0.213724639,0.0839,1,0.363267572,0.3633,0,0.309709252,0,0.75,0.327023177,0.2453,0.6085,0.151246925,0.092,0.85,0.325747012,0.2769,1,0.342611092,0.3426,0,0.331641896,0,0.6195,0.181907181,0.1127,0.489,0.0196707,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E006,1,0.174,0.2474,1,0.324,0.2603,1,0.338,0.3001,0,0.164,0,0.8078,0.33,0.2605,0,0.257,0,0.2353,0.22,0.0483,0.25,0.233,0.0568,0.75,0.29,0.2589,0.364,0.229,0.0854,0,0.302,0,1,0.319,0.315,0,0.379,0,0.315,0.178,0.0545,0.06,0.208,0.0137,0.3333,0.551,0.165,0.75,0.241,0.2072,0.3859,0.263,0.1041,0.5045,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.145,0.334,0.0479,0.5,0.429619722,0.2148,0,0.23970222,0,0.2628,0.201948503,0.0531,0,0.38069361,0,0,0.214992669,0,0,0.20862622,0,0.25,0.195687501,0.0489,0.0489,0.213724639,0.0105,0.25,0.363267572,0.0908,0,0.309709252,0,0.0833,0.327023177,0.0273,0.1181,0.151246925,0.0179,0.85,0.325747012,0.2769,0,0.342611092,0,0,0.331641896,0,0.2769,0.181907181,0.0504,0.2257,-0.2788041,q3
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E007,1,0.174,0.2474,1,0.324,0.2603,1,0.338,0.3001,0.1176,0.164,0.0226,0.8304,0.33,0.2678,0,0.257,0,0.3382,0.22,0.0694,0.5,0.233,0.1135,0.5,0.29,0.1726,0.3556,0.229,0.0834,0,0.302,0,0,0.319,0,0,0.379,0,0,0.178,0,0.16,0.208,0.0366,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4088,0.263,0.1102,0.4615,0,0.378,0,1,0.28,0.2796,1,0.342,0.342,0.6216,0.241,0.1561,0.3978,0.334,0.1316,0.5,0.429619722,0.2148,0,0.23970222,0,0.3464,0.201948503,0.0699,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0,0.20862622,0,0.25,0.195687501,0.0489,0.3371,0.213724639,0.072,0.25,0.363267572,0.0908,0,0.309709252,0,0.3333,0.327023177,0.109,0.1998,0.151246925,0.0302,0.75,0.325747012,0.2443,0.8333,0.342611092,0.2855,1,0.331641896,0.3316,0.8615,0.181907181,0.1567,0.485,0.0235611,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E008,1,0.174,0.2474,0.99,0.324,0.2577,1,0.338,0.3001,0,0.164,0,0.8052,0.33,0.2597,0,0.257,0,0,0.22,0,0.75,0.233,0.1703,0.75,0.29,0.2589,0.4292,0.229,0.1007,0,0.302,0,0,0.319,0,0,0.379,0,0,0.178,0,0.4,0.208,0.0915,0.4583,0.551,0.2268,0.25,0.241,0.0691,0.3874,0.263,0.1045,0.4649,0.75,0.378,0.2838,1,0.28,0.2796,0,0.342,0,0.5634,0.241,0.1415,0.3967,0.334,0.1312,0.5,0.429619722,0.2148,0,0.23970222,0,0.346,0.201948503,0.0699,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.25,0.20862622,0.0522,0.75,0.195687501,0.1468,0.4871,0.213724639,0.1041,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.3333,0.327023177,0.109,0.6912,0.151246925,0.1045,0.85,0.325747012,0.2769,0.5,0.342611092,0.1713,0,0.331641896,0,0.4482,0.181907181,0.0815,0.5015,0.0366672,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E009,1,0.174,0.2474,0.96,0.324,0.2499,1,0.338,0.3001,0.1569,0.164,0.0302,0.8275,0.33,0.2669,0,0.257,0,0.3676,0.22,0.0755,0.7143,0.233,0.1622,0.7143,0.29,0.2466,0.4843,0.229,0.1136,0,0.302,0,0,0.319,0,0,0.379,0,0,0.178,0,0.14,0.208,0.032,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4042,0.263,0.109,0.4895,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.4138,0.334,0.1368,0.5,0.429619722,0.2148,0,0.23970222,0,0.3516,0.201948503,0.071,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.4414,0.213724639,0.0943,0.75,0.363267572,0.2725,0,0.309709252,0,0.5833,0.327023177,0.1908,0.4632,0.151246925,0.0701,0.65,0.325747012,0.2117,1,0.342611092,0.3426,1,0.331641896,0.3316,0.886,0.181907181,0.1612,0.4668,-0.0227214,q4
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E010,1,0.174,0.2474,0.9,0.324,0.2343,1,0.338,0.3001,0.0392,0.164,0.0075,0.7893,0.33,0.2546,0,0.257,0,0.0294,0.22,0.006,0.3333,0.233,0.0757,0.6667,0.29,0.2302,0.3119,0.229,0.0732,0,0.302,0,1,0.319,0.315,0,0.379,0,0.315,0.178,0.0545,0.02,0.208,0.0046,0.3333,0.551,0.165,0.75,0.241,0.2072,0.3767,0.263,0.1016,0.4839,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.3978,0.334,0.1316,0.5,0.429619722,0.2148,0,0.23970222,0,0.3464,0.201948503,0.0699,0,0.38069361,0,0,0.214992669,0,0,0.20862622,0,0.25,0.195687501,0.0489,0.0489,0.213724639,0.0105,0.75,0.363267572,0.2725,0,0.309709252,0,0.5,0.327023177,0.1635,0.436,0.151246925,0.0659,0.85,0.325747012,0.2769,1,0.342611092,0.3426,1,0.331641896,0.3316,0.9511,0.181907181,0.173,0.4133,-0.0705288,q3
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E011,1,0.174,0.2474,0.99,0.324,0.2577,1,0.338,0.3001,0.4314,0.164,0.0829,0.8881,0.33,0.2864,0,0.257,0,0.5735,0.22,0.1177,0.8182,0.233,0.1858,0.8182,0.29,0.2825,0.586,0.229,0.1375,0,0.302,0,1,0.319,0.315,0,0.379,0,0.315,0.178,0.0545,0.42,0.208,0.0961,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4683,0.263,0.1263,0.6047,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.0836,0.334,0.0276,0.5,0.429619722,0.2148,0,0.23970222,0,0.2425,0.201948503,0.049,0.3333,0.38069361,0.1269,0,0.214992669,0,0.25,0.20862622,0.0522,0.25,0.195687501,0.0489,0.228,0.213724639,0.0487,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.5,0.327023177,0.1635,0.7457,0.151246925,0.1128,0.85,0.325747012,0.2769,1,0.342611092,0.3426,0,0.331641896,0,0.6195,0.181907181,0.1127,0.3934,-0.2113634,q2
